"filename", "language", "JSON", "Markdown", "JSON with Comments", "JavaScript", "Batch", "TypeScript", "YAML", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\全部项目\dalieba\components\home\componentsHome\calc-time.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 395, 0, 0, 4, 25, 424
"d:\全部项目\dalieba\components\home\componentsHome\classBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 9, 6, 62
"d:\全部项目\dalieba\components\home\componentsHome\spot-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 30, 28, 337
"d:\全部项目\dalieba\components\home\componentsHome\tripCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 5, 10, 126
"d:\全部项目\dalieba\components\home\hot\hot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 2, 45
"d:\全部项目\dalieba\components\home\search\search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 26, 31, 432
"d:\全部项目\dalieba\components\map\MapComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 11, 7, 99
"d:\全部项目\dalieba\components\map\MapImpl.d.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 2, 23
"d:\全部项目\dalieba\components\map\MapImpl.md", "Markdown", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 203
"d:\全部项目\dalieba\components\map\MapImpl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 465, 0, 0, 20, 56, 541
"d:\全部项目\dalieba\components\navbar\mobile-navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 8, 1, 14
"d:\全部项目\dalieba\components\plan\markdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 8, 3, 67
"d:\全部项目\dalieba\components\plan\spot-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 10, 8, 118
"d:\全部项目\dalieba\components\plan\time-line.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 11, 15, 247
"d:\全部项目\dalieba\components\scenic-spot\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 6, 77
"d:\全部项目\dalieba\components\theme\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\全部项目\dalieba\components\theme\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 8, 10, 165
"d:\全部项目\dalieba\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"d:\全部项目\dalieba\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 15, 158
"d:\全部项目\dalieba\components\ui\alwaysDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 2, 10, 104
"d:\全部项目\dalieba\components\ui\articleCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 4, 146
"d:\全部项目\dalieba\components\ui\articleControlBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"d:\全部项目\dalieba\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"d:\全部项目\dalieba\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"d:\全部项目\dalieba\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 8, 6, 70
"d:\全部项目\dalieba\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"d:\全部项目\dalieba\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 28, 242
"d:\全部项目\dalieba\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 13, 178
"d:\全部项目\dalieba\components\ui\control-bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 9, 3, 51
"d:\全部项目\dalieba\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"d:\全部项目\dalieba\components\ui\dragBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 51
"d:\全部项目\dalieba\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 14, 133
"d:\全部项目\dalieba\components\ui\dropdown-avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 8, 6, 139
"d:\全部项目\dalieba\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"d:\全部项目\dalieba\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
